1982,Primera Ronda,Grupo A,1982-06-13,Italia,Polonia,Paolo Rossi,Italia,18,
1982,Primera Ronda,Grupo A,1982-06-13,Italia,Polonia,Zbigniew Boniek,Polonia,30,
1982,Primera Ronda,Grupo A,1982-06-14,Peru,Camerun,Teofilo Cubillas,Peru,20,
1982,Primera Ronda,Grupo A,1982-06-14,Peru,Camerun,Roger Milla,Camerun,50,
1982,Primera Ronda,Grupo B,1982-06-16,Alemania Federal,Argelia,Karl-Heinz Rummenigge,Alemania Federal,67,
1982,Primera Ronda,Grupo B,1982-06-16,Alemania Federal,Argelia,Rabah Madjer,Argelia,54,
1982,Primera Ronda,Grupo B,1982-06-16,Alemania Federal,Argelia,Lakhdar Belloumi,Argelia,68,
1982,Primera Ronda,Grupo B,1982-06-20,Alemania Federal,Chile,Karl-Heinz Rummenigge,Alemania Federal,9,
1982,Primera Ronda,Grupo B,1982-06-20,Alemania Federal,Chile,Uwe Reinders,Alemania Federal,81,
1982,Primera Ronda,Grupo C,1982-06-16,Brasil,URSS,Socrates Brasileiro,Brasil,75,
1982,Primera Ronda,Grupo C,1982-06-16,Brasil,URSS,Eder Aleixo,Brasil,88,
1982,Primera Ronda,Grupo C,1982-06-16,Brasil,URSS,Andrei Bal,URSS,33,
1982,Primera Ronda,Grupo C,1982-06-19,Brasil,Escocia,Zico,Brasil,33,
1982,Primera Ronda,Grupo C,1982-06-19,Brasil,Escocia,Oscar Bernardi,Brasil,48,
1982,Primera Ronda,Grupo C,1982-06-19,Brasil,Escocia,Eder Aleixo,Brasil,63,
1982,Primera Ronda,Grupo C,1982-06-19,Brasil,Escocia,David Narey,Escocia,18,
1982,Primera Ronda,Grupo D,1982-06-16,Francia,Inglaterra,Bryan Robson,Inglaterra,1,
1982,Primera Ronda,Grupo D,1982-06-16,Francia,Inglaterra,Gerard Soler,Francia,24,
1982,Primera Ronda,Grupo D,1982-06-16,Francia,Inglaterra,Bryan Robson,Inglaterra,67,
1982,Primera Ronda,Grupo E,1982-06-16,España,Honduras,Roberto López Ufarte,España,65,
1982,Primera Ronda,Grupo E,1982-06-16,España,Honduras,Hector Zelaya,Honduras,7,
1982,Primera Ronda,Grupo E,1982-06-20,España,Yugoslavia,Juanito Gomez,España,10,
1982,Primera Ronda,Grupo E,1982-06-20,España,Yugoslavia,Enrique Saura,España,13,
1982,Primera Ronda,Grupo E,1982-06-20,España,Yugoslavia,Ivan Gudelj,Yugoslavia,10,
1982,Primera Ronda,Grupo F,1982-06-17,Argentina,Belgica,Erwin Vandenbergh,Belgica,62,
1982,Primera Ronda,Grupo F,1982-06-18,Argentina,Hungria,Diego Maradona,Argentina,28,
1982,Primera Ronda,Grupo F,1982-06-18,Argentina,Hungria,Diego Maradona,Argentina,57,
1982,Primera Ronda,Grupo F,1982-06-18,Argentina,Hungria,Daniel Bertoni,Argentina,34,
1982,Primera Ronda,Grupo F,1982-06-18,Argentina,Hungria,Leopoldo Luque,Argentina,60,
1982,Primera Ronda,Grupo F,1982-06-18,Argentina,Hungria,Tibor Nyilasi,Hungria,15,
